CustomerID,TotalSpend,TotalQuantity,TransactionCount,Cluster
C0064,4039.77,13,5,1
C0065,7663.7,27,10,0
C0066,3799.2799999999997,9,3,1
C0067,4090.84,14,6,0
C0068,5950.42,22,8,0
C0069,2878.69,10,5,1
C0070,3125.49,12,4,1
C0071,1400.83,7,3,1
C0072,2999.59,13,5,1
C0073,2060.54,10,3,1
C0074,3055.2200000000003,8,3,1
C0075,5848.97,28,9,0
C0076,2333.06,11,5,1
C0077,837.3,7,3,1
C0078,995.52,2,1,1
C0079,4251.5599999999995,12,4,1
C0080,1007.52,3,1,1
C0081,3542.48,14,6,0
C0082,7572.91,23,7,0
C0083,642.8,4,3,1
C0084,4441.1,20,9,0
C0085,2598.33,7,3,1
C0086,2754.68,13,5,1
C0087,6604.23,22,7,0
C0088,2135.38,10,5,1
C0089,2556.2200000000003,7,2,1
C0090,4138.16,16,7,0
C0091,3137.66,20,6,0
C0092,3015.95,10,4,1
C0093,5294.99,19,9,0
C0094,1166.97,9,4,1
C0095,1284.27,5,2,1
C0096,6072.92,16,5,0
C0097,137.54,1,1,1
C0098,3158.02,14,8,0
C0099,6715.72,21,8,0
C0100,5003.45,14,6,0
C0101,5550.99,20,8,0
C0102,6132.360000000001,21,8,0
C0103,2462.5499999999997,7,5,1
C0104,6579.1,21,8,0
C0105,4807.45,16,6,0
C0106,2939.3,13,5,1
C0107,3623.92,12,5,1
C0108,4848.54,16,7,0
C0109,5487.25,32,11,0
C0110,942.32,4,1,1
C0111,1973.02,16,5,1
C0112,1959.51,8,3,1
C0113,4812.1,22,8,0
C0114,5780.43,18,5,0
C0115,3137.18,8,3,1
C0116,2758.6800000000003,11,6,1
C0117,4028.2700000000004,12,4,1
C0118,3434.77,10,6,1
C0119,1191.61,6,5,1
C0120,2470.02,9,3,1
C0121,974.52,8,4,1
C0122,5072.55,17,7,0
C0123,1400.06,4,2,1
C0124,4264.33,19,7,0
C0125,2973.96,10,4,1
C0126,4565.57,13,6,0
C0127,3232.88,11,6,1
C0128,773.19,3,2,1
C0129,2339.61,9,3,1
C0130,601.36,2,1,1
C0131,1943.82,7,3,1
C0132,1851.2599999999998,8,3,1
C0133,2884.33,11,4,1
C0134,2679.28,16,5,1
C0135,3135.58,10,4,1
C0136,4298.99,21,6,0
C0137,3332.55,11,5,1
C0138,5610.25,17,5,0
C0139,3703.64,13,8,0
C0140,1888.1399999999999,5,2,1
C0141,10673.869999999999,27,10,0
C0142,2239.04,11,4,1
C0143,6044.63,21,7,0
C0144,1304.6799999999998,8,2,1
C0145,5771.27,20,8,0
C0146,2570.8,8,4,1
C0147,2948.44,14,9,0
C0148,5457.79,18,5,0
C0149,4404.78,15,5,0
C0150,580.34,2,1,1
C0151,223.96,4,1,1
C0152,3385.8599999999997,10,5,1
C0153,4744.79,17,6,0
C0154,3703.61,11,6,1
C0155,5377.83,17,7,0
C0156,7634.45,28,11,0
C0157,1876.1,10,5,1
C0158,3716.52,9,4,1
C0159,2072.41,8,3,1
C0160,2926.93,14,5,1
C0161,3141.83,14,8,0
C0162,4802.24,20,8,0
C0163,5775.28,19,6,0
C0164,3087.69,10,5,1
C0165,6708.1,30,9,0
C0166,2405.3500000000004,11,4,1
C0167,2300.42,8,3,1
C0168,5053.83,12,4,1
C0169,4533.32,20,6,0
C0170,4931.74,15,5,0
C0171,5145.35,15,5,0
C0172,2201.7,10,6,1
C0173,5808.04,20,8,0
C0174,2891.95,12,5,1
C0175,6210.53,26,10,0
C0176,2331.32,12,3,1
C0177,2509.81,9,4,1
C0178,2708.83,9,4,1
C0179,3652.83,14,6,0
C0181,3347.6000000000004,15,6,0
C0182,4980.7699999999995,17,5,0
C0183,3850.2200000000003,12,5,1
C0184,3393.1800000000003,11,7,0
C0185,3424.3199999999997,9,3,1
C0186,1761.6399999999999,7,3,1
C0187,4612.44,11,5,1
C0188,7111.320000000001,21,8,0
C0189,2643.21,11,5,1
C0190,2983.02,14,5,1
C0191,2997.9700000000003,11,5,1
C0192,2072.7200000000003,8,4,1
C0193,3009.2900000000004,11,4,1
C0194,3869.17,14,7,0
C0195,4036.27,17,6,0
C0196,4982.88,12,4,1
C0197,1928.65,9,3,1
C0198,931.83,3,2,1
C0199,1979.28,9,4,1
C0200,4758.6,16,5,0
